Posição,Nome,Idade,Naturalidade,Patrimonio (R$ bi),Origem,Texto
11,Max Van Hoegaerden Herrmann Telles,29,São Paulo,29.3,"AB InBev, 3G Capital","Estreante na lista, Max Van Hoegaerden Herrmann Telles é o filho mais novo do bilionário Marcel Herrmann Telles e vem assumindo a participação do pai na AB InBev, a maior cervejaria do mundo, proprietária da Ambev, além das demais participações. O discreto Max nasceu em São Paulo em novembro de 1995 e mora em Nova York. Ele já recebeu outras doações do pai, incluindo participação na São Carlos Empreendimentos."
12,Ermírio Pereira de Moraes,73,São Paulo,26.8,Votorantim,
12,Luís Ermírio de Moraes,67,São Paulo,26.8,Votorantim,
12,Maria Helena Moraes Scripilliti,94,São Paulo,26.8,Votorantim,"Caçula dos quatro filhos do pernambucano José Ermírio de Moraes (1900-1973), fundador da Votorantim, Ermírio Pereira dividia a gestão com os irmãos Antônio e José e com o cunhado Clóvis Scripilliti (1925-2000), até que houve uma reestruturação em 2017. Ermírio mantém sua participação, mas não atua mais na empresa, que em 2021 abriu o capital da Companhia Brasileira de Alumínio. Depois da morte de Antônio Ermírio de Moraes (1928-2014), seus nove filhos assumiram a parte do empresário na Votorantim Participações. Maria Helena é viúva de Clóvis. O Votorantim é o quinto maior grupo industrial diversificado da América Latina, com operação em mais de 20 países."
15,João Moreira Salles,63,Rio de Janeiro,25.5,"Itaú Unibanco, CBMM",
15,Walther Moreira Salles Junior,69,Rio de Janeiro,25.5,"Itaú Unibanco, CBMM","Segundo e quarto filhos do embaixador Walther Salles, Walther Moreira Salles Junior e João Moreira Salles são grandes acionistas do Itaú Unibanco e controladores da Companhia Brasileira de Metalurgia e Mineração (CBMM), responsável por mais de 80% do nióbio de ferro produzido no mundo, além de diversos investimentos no exterior. A família mantém em São Paulo o renomado Instituto Moreira Salles, voltado à cultura. Walther Salles, também conhecido como Waltinho, foi o primeiro diretor brasileiro a receber um Oscar."
17,Joesley Mendonça Batista,53,Goiás,25.0,JBS,
17,Wesley Mendonça Batista,55,Goiás,25.0,JBS,"A JBS, maior empresa mundial de proteína animal, teve novamente um desempenho muito bom nos pregões, subindo 40% em 12 meses até junho de 2025 após ter quase dobrado de preço no período anterior. A empresa conseguiu listar suas ações em Wall Street e passou a ser negociada na B3 por meio de Brazilian Depositary Receipts (BDR). Os bons resultados, apesar do cenário desafiador para o mercado global de carne bovina, deveram-se à diversificação das atividades do grupo, que tem operações com aves e suínos nos Estados Unidos, no Brasil e na Austrália. Filhos de José Batista Sobrinho, conhecido como Zé Mineiro, que iniciou as atividades a partir de um açougue em Goiás, os irmãos Joesley e Wesley são os acionistas controladores da companhia."
19,Maurizio Billi,68,São Paulo,20.6,Eurofarma,"Filho do fundador, o discreto Maurizio é presidente e controlador da Eurofarma, terceira maior farmacêutica do Brasil, de capital fechado. Desde 2009, a companhia tem se expandido pela América Latina, com a compra de unidades fabris. Já está presente em 20 países do continente. Detentora do maior centro de pesquisa instalado na América Latina, a Eurofarma conta com mais de 750 pesquisadores. Em março de 2025, a empresa anunciou a compra de 60% da empresa de cosméticos Dermage, por R$ 156 milhões."
20,Alexandre Grendene Bartelle,75,Rio Grande do Sul,20.5,"Grendene, Nova Milano","Conhecido pelo setor calçadista com a gigante Grendene, que leva seu sobrenome e do irmão gêmeo Pedro, Alexandre acumula uma série de investimentos em outros setores, como o de móveis, siderurgia, hotelaria e comunicação. Por meio da Nova Milano Investimentos, também é controlador da Even Construtora e Incorporadora."
21,Ricardo Castellar de Faria,50,Rio de Janeiro,19.6,Granja Faria,"Engenheiro-agrônomo pela UFRGS, o carioca Faria é fundador e presidente do conselho da Granja Faria, Insolo e RCF Capital e presidente da Associação Catarinense de Avicultura. A granja foi criada em 2006, sendo a maior produtora de ovos comerciais, ovos férteis e pintos de um dia no Brasil. Emprega 2,7 mil funcionários em 34 unidades produtoras, fornecendo cerca de 16 milhões de ovos por dia. Em 2024 Faria adquiriu a americana Hillandale Farms por US$ 1,1 bilhão e em 2025 comprou o Grupo HEVO, da Espanha."
22,Alceu Elias Feldmann,75,Santa Catarina,18.5,Fertipar,"Formado em agronomia, o discreto Feldmann costuma se definir como vendedor de fertilizantes. Ele é fundador e controlador da Fertipar, responsável por 15% do mercado nacional de fertilizantes. Feldmann iniciou as atividades da companhia em um armazém alugado na cidade de Paranaguá (PR) em 1980. Atualmente ele possui cerca de 85% do grupo, que engloba 14 empresas voltadas ao agronegócio. A companhia tem um vasto portfólio de clientes, como produtores de café, soja, milho, citricultura e até agricultores que buscam o reflorestamento."
22,José João Abdalla Filho,80,São Paulo,18.5,Banco Clássico,"Discreto e avesso a entrevistas e a fotógrafos, Juca (como é conhecido) é filho do empresário paulistano J.J. Abdalla e dono do Banco Clássico, por meio do qual investe em empresas que prestam serviços públicos, como Eletrobras e Cemig. Seu portfólio inclui ainda companhias como Petrobras, Eletrobras e Cemig."
22,José Roberto Marinho,69,Rio de Janeiro,18.5,Rede Globo,"Filhos de Roberto Marinho, os irmãos João Roberto, José Roberto e Roberto Irineu (à frente, na posição 28) dividem o controle da Rede Globo, um dos maiores conglomerados de mídia do planeta. A empresa teve um desempenho muito melhor em 2024 na comparação com o exercício anterior. O faturamento de 2024 cresceu 8% ante 2023 para R$ 16,4 bilhões e o Ebitda avançou para R$ 1,55 bilhão, alta de 26%. O lucro líquido fechou o ano em R$ 1,99 bilhão, 138% acima de 2023."
22,João Roberto Marinho,71,Rio de Janeiro,18.5,Rede Globo,
26,Mário Araújo Alencar Araripe,70,Ceará,18.1,Casa dos Ventos,"Engenheiro formado pelo Instituto Tecnológico da Aeronáutica (ITA), Araripe é um empreendedor em série e controlador da Casa dos Ventos, gigante brasileira de energias renováveis. A companhia teve 35% comprados pela Total em 2022. Por meio do seu fundo Salus, o empresário também tem investimentos nos setores financeiro, industrial e imobiliário, com cerca de 150 mil hectares em propriedades rurais no Nordeste."
27,Jayme Brasil Garfinkel,78,São Paulo,17.5,Porto Seguro,"Garfinkel controla com a família a Porto (antes denominada Porto Seguro), uma das maiores seguradoras do país. Comprada em 1972, ele foi o grande responsável pelo crescimento da empresa – ocupou a presidência até 2011. O grupo tem hoje três verticais de negócios: Porto Seguros, Porto Saúde e Porto Seguro Bank."
28,Roberto Irineu Marinho,77,Rio de Janeiro,16.8,Rede Globo,"Roberto Irineu Marinho, irmão de João Roberto e José Roberto, possui uma participação acionária levemente menor que a dos dois irmão."
29,Lirio Albino Parisotto,71,Rio Grande do Sul,14.1,"Videolar, Bolsa de valores","Filho de agricultores e nascido em Nova Bassano, na serra gaúcha, Parisotto é o primogênito de 11 irmãos. Fundador da Videolar/Innova, que produz resinas, Parisotto é um dos maiores investidores em ações do Brasil. Iniciou sua trajetória na bolsa em 1998 ao investir US$ 6 milhões em 12 ações que pagavam bons dividendos e reinvestir 100% dos ganhos. É um dos principais acionistas individuais da Itaúsa, holding controladora do Itaú Unibanco, e também investe em energia e no setor de consumo."
30,Marcel Herrmann Telles,75,Rio de Janeiro,12.5,"AB InBev, 3G Capital","Sócio de Lemann e de Sicupira na 3G Capital, Telles tem se envolvido cada vez menos no dia a dia das empresas e desde 2023 vem transferindo sua fortuna para seu filho caçula, Max, que estreou na lista de bilionários neste ano. A participação responde por 54% do patrimônio de Marcel. Em 2017, o bilionário já havia doado suas ações na São Carlos para seus filhos Max e Christian."
31,Julio Rafael de Aragão Bozano,89,Rio Grande do Sul,11.4,Bozano Investimentos,"O gaúcho Bozano ficou conhecido como “barão do aço” na década de 1990 por sua participação intensa na privatização das siderúrgicas. No ano 2000, ele vendeu seu banco Bozano, Simonsen para o grupo espanhol Santander. Bozano voltaria ao mercado financeiro em 2013, com a criação da Bozano Investimentos, atual Crescera Capital. A gestora está focada em private equity e em setores como educação, saúde e tecnologia aplicada. Avesso a holofotes, Bozano é proprietário de cavalos puro-sangue. Tem cerca de 300 animais de raça."
31,Luciano Hang,62,Santa Catarina,11.4,Havan,"Hang é dono da rede de lojas de departamentos Havan, com cerca de 190 lojas físicas espalhadas pelo país. Ele fundou a empresa em 1986 em Brusque (SC) ao lado do ex-sócio Vanderlei de Lima, aos 24 anos, e hoje controla praticamente toda a companhia. A Havan lucrou R$ 2,7 bilhões em 2024, um recorde e com avanço de 82% em relação ao R$ 1,4 bilhão de 2023."
33,Roberto Balls Sallouti,53,São Paulo,11.1,BTG Pactual,"O empresário e filantropo Sallouti é um dos sócios da BTG Pactual Holding, controladora do banco BTG, onde começou como estagiário em 1992. Ele retornou à instituição em 1994, onde permanece até hoje. Foi nomeado Chief Operating Officer (COO) em 2008. Sete anos depois, em 2015, ascendeu à presidência. Além de CEO da companhia, ele é membro do conselho de administração. Em 2019, fundou o Inteli – Instituto de Tecnologia e Liderança, uma instituição de ensino privada sem fins lucrativos focada na formação de lideranças em tecnologia."
34,Ilson Mateus Rodrigues,62,Maranhão,10.9,Grupo Mateus,"O empresário maranhense começou a vida como garimpeiro e construiu um império no Nordeste com o Grupo Mateus, do qual é presidente e principal acionista. A rede fez sua estreia na bolsa de valores em outubro de 2020. Ele divide o controle da companhia com a ex-mulher, Maria Barros Pinheiro, e os dois filhos, Ilson Junior e Denílson."
35,Alfredo Egydio Arruda Villela Filho,56,São Paulo,10.3,Itaúsa,"Ao lado da irmã Ana Lúcia, Alfredo é um das maiores acionistas individuais do grupo Itaú Unibanco. Juntos, os dois bisnetos de Alfredo Egídio de Sousa Aranha (1894-1961), fundador do Banco Federal de Crédito, detêm cerca de 14% da Itaúsa, holding controladora do maior banco privado da América Latina. Avesso aos holofotes, Alfredo é formado em engenharia mecânica pelo Instituto Mauá de Tecnologia e pós-graduado em administração pela Fundação Getulio Vargas."
36,Ezra Moise Safra,52,São Paulo,9.9,M. Safra,"Ezra é o primogênito dos cinco filhos de Moise Safra (1934-2014), cofundador do Banco Safra ao lado dos irmãos Edmond (1932-1999) e Joseph (1938-2020). De perfil discreto e apelidado Azuri, Ezra lidera a M. Safra & Co., que gerencia os recursos da família e atua como veículo de investimentos. Os Safra são grandes investidores em imóveis nas principais cidades dos Estados Unidos e da Europa, possuindo diversos ativos emblemáticos."
37,Ana Lúcia de Mattos Barretto Villela,51,São Paulo,9.8,Itaúsa,"Ana Lúcia é a única mulher a participar do conselho de administração do Itaú Unibanco. Ela e seu irmão Alfredo foram criados pela tia Milu Villela após a morte dos pais em um acidente de avião, em 1982. Ela tinha oito anos de idade e o irmão tinha 12. Formada em pedagogia pela PUC-SP, onde foi aluna de Paulo Freire, ela preside o Instituto Alana, organização sem fins lucrativos financiada pelos dois irmãos em 1994 e que visa facilitar o crescimento de crianças que vivem em áreas de carência."
37,Edir Macedo,80,Rio de Janeiro,9.8,Rede Record,"Criador da Igreja Universal do Reino de Deus, Edir Macedo é dono da Rede Record, segunda maior emissora do Brasil, Também é dono do canal W67CI, afiliado da rede internacional Telemundo e exibido em Atlanta (EUA)."
37,Guilherme Dias Fernandes Benchimol,48,Rio de Janeiro,9.8,XP Investimentos,"Em 2001, Guilherme Benchimol vendeu um fusca e, ao lado de outros três sócios, abriu uma empresa de educação financeira em Porto Alegre. Sem tempo de pensar em um nome, chamaram a iniciativa de XPTO, sigla que se refere a algo genérico Sem duas letras e 23 anos depois, a XP Investimentos é a maior plataforma de investimentos e de assessoria do Brasil. Fez seu IPO em Nova York em 2019 e estava avaliada em R$ 56,3 bilhões em junho de 2025."
37,Luiz Frias,62,São Paulo,9.8,PagBank,"O empresário Octávio Frias de Oliveira (19122007) ficou conhecido como proprietário do jornal Folha de S. Paulo, mas o patrimônio da família incluía outras atividades, como construção e pecuária. Essa diversidade se manteve nas gerações seguintes. O Grupo Folha é um dos principais conglomerados de mídia do país. Em 2007, a família comprou a BRPay, primeira plataforma de pagamentos online do Brasil, e mudou seu nome para PagSeguro, atualmente PagBank. Em junho de 2025, a fintech era avaliada em US$ 2,8 bilhões (R$ 15,1 bilhões), tendo Luiz como seu principal acionista individual indireto."
37,Rubens Menin Teixeira de Souza,69,Minas Gerais,9.8,"MRV, Banco Inter","A maior parte do patrimônio de Rubens Menin vem de sua participação na construtora MRV Engenharia, cofundada por ele em 1979, em Belo Horizonte. A família também é sócia-fundadora do Banco Inter, que fez IPO em 2018. Rubens é um dos fundadores (e dono) da CNN Brasil. Desde 2023 ele é um dos maiores investidores no Atlético-MG, quando o clube se tornou uma Sociedade Anônima de Futebol (SAF)."
42,Anne Werninghaus,39,Santa Catarina,9.1,WEG,"Anne é a filha primogênita do empresário Diether Werninghaus e neta de Geraldo Werninghaus, um dos três fundadores da WEG, e uma das maiores acionistas individuais da empresa. A exemplo da maioria dos outros herdeiros familiares da WEG, Anne não atua na empresa, mas administra sua empresa de moda e estilo."
43,Candido Pinheiro Koren de Lima,79,Ceará,8.8,Hapvida,"Médico oncologista, Lima se desentendeu com o chefe e fundou uma clínica em Fortaleza em 1979. Ele denominou o negócio Clínica (depois Hospital) Antônio Prudente, em homenagem ao médico que fundou a Associação Paulista de Combate ao Câncer. As originais (HAP) deram origem à prestadora de serviços de saúde Hapvida, que abriu capital na B3 em 2018. Em 2021, a Hapvida anunciou uma fusão com a concorrente NotreDame Intermédica."
43,José Roberto Lamacchia e Leila Pereira,0,Ceará,8.8,Crefisa,"Único caso da lista em que aparece um casal, Lamacchia e Pereira são donos da financeira Crefisa, empresa de crédito pessoal para negativados. O casal também investe em educação, sendo proprietário da Faculdade das Américas (FAM), fundada em 1998. O que os move, porém, é o que ocorre nas quatro linhas. Apaixonados por futebol, José e Leila são os maiores investidores nesse esporte no Brasil, em especial na Sociedade Esportiva Palmeiras, tradicional clube paulistano, atualmente presidido pela empresária."
45,Cristina Helena Junqueira,41,São Paulo,8.7,Nubank,"Cofundadora do Nubank, Cristina entrou para a lista depois do IPO da instituição financeira na Bolsa de Nova York, em dezembro de 2021. Com cerca de 2,9% das ações da instituição, é a primeira mulher a se tornar bilionária por conta de uma fintech no Brasil. Ela é também uma das poucas mulheres da lista brasileira a integrar o time de self-made, cujo patrimônio não é resultado de herança. O Nubank estava avaliado em US$ 65 bilhões em junho de 2025."
46,José Ermírio de Moraes Neto,72,São Paulo,8.4,Votorantim,
46,José Roberto Ermírio de Moraes,67,São Paulo,8.4,Votorantim,
46,Neide Helena de Moraes,90,São Paulo,8.4,Votorantim,"Os três irmãos são netos do fundador do grupo Votorantim, José Ermírio de Moraes (1900-1973), e sobrinhos do consolidador da companhia, Antônio Ermírio (1928-2014). O trio herdou a participação do pai, José Ermírio de Moraes Filho (1926-2001), em partes iguais. Em sua gestão como presidente do braço industrial do grupo, José Roberto conduziu uma das maiores fusões brasileiras: Votorantim Celulose e Papel com a Aracruz, entre 2008 e 2009, criando a Fibria, anexada em 2018 à Suzano."
49,Renato Monteiro dos Santos,51,São Paulo,8.2,BTG Pactual,"Santos é um dos sócios da BTG Pactual Holding, controladora do banco BTG, com cerca de 68% dos ativos. Vice-presidente ao lado de Antônio Carlos Canto Porto Filho, ele iniciou a carreira no BTG como trader em 1997 e se tornou sócio em 2001, sendo responsável pela tesouraria do banco na América Latina, além das áreas de renda fixa, câmbio e commodities. É graduado em administração pela FGV-SP e em economia pela Universidade de São Paulo (FEA-USP)."
50,Artur Noemio Grynbaum,56,Paraná,8.1,O Boticário,"Sócio do Grupo O Boticário, fundado pelo cunhado Miguel Krigsner em 1977, Artur Grynbaum foi CEO da companhia por 13 anos, até 2021, e é vice-presidente do conselho de administração. Além da rede própria, o grupo compreende hoje as marcas de beleza Eudora, Quem Disse, Berenice?, Beautybox, Truss e Vult, entre outras, além da plataforma Beleza na Web. Na área financeira, mantém a fintech de meios de pagamento Mooz. Soma 4 mil pontos de venda em quase 1.800 cidades."
50,Carlos Eduardo Sanchez,63,São Paulo,8.1,"EMS, Grupo NC","Nascido em Santo André, na grande São Paulo, Sanchez transformou a farmácia do pai no maior laboratório de genéricos do país. Ele controla o Grupo NC, holding que compreende as farmacêuticas NC Farma (EMS, Germed, Novamed, entre outras) e NC PAR (Clintech e Bionovis), além da NC Invest, de investimentos, e a 3Z Realty, de negócios imobiliários. O bilionário é dono ainda da NSC, empresa de comunicação em Santa Catarina afiliada da TV Globo."
50,Morris Dayan,56,São Paulo,8.1,Daycoval,"Morris tornou-se o maior acionista do Banco Daycoval em 2015, depois que Sasson Dayan, um dos fundadores e então principal acionista, repassou as cotas a outros integrantes da família. Ele estudou economia e filosofia na Universidade de Jerusalém e trabalhou no Republic National Bank of New York, fundado por Edmond Safra, entre 1991 e 1992. O banco é até hoje controlado pela família de origem libanesa Dayan, que o fundou nos anos 1950. No fim de 2024, o Daycoval comprou a seguradora do BMG. Morris é velejador oceânico há duas décadas."
53,Fábio Roberto Chimenti Auriemo,73,São Paulo,8.0,JHSF,"Fábio fundou o grupo JHSF em 1972 como uma pequena construtora. Hoje, além da incorporadora responsável por empreendimentos como Parque Cidade Jardim, Fazenda Boa Vista e Boa Vista Village, a JHSF atua em áreas de renda recorrente com shopping centers, aeroporto, hospitalidade, clubes e negócios financeiros. O grupo segue acelerando sua expansão internacional e está ampliando as atividades focadas na geração de renda."
54,Pedro Grendene Bartelle,75,Rio Grande do Sul,7.9,"Grendene, Vulcabras","Irmão gêmeo e sócio de Alexandre Grendene, Pedro também é controlador da Vulcabras. Desde a fusão das duas companhias, em 2007, a empresa é a maior fabricante de artigos esportivos do país, dona de marcas como Mizuno e Olympikus, e distribuidora e produtora da global Under Armour no Brasil. A Vulcabras estuda a criação de lojas físicas. Pedro e a família também são grandes acionistas da Grendene."
55,Rubens Ometto Silveira Mello,75,São Paulo,7.6,"Cosan, Raízen, Rumo","O sobrenome Ometto se confunde com a história da cana-de-açúcar no Brasil. Rubens é engenheiro pela Escola Politécnica da USP, controlador e presidente do conselho de administração do Grupo Cosan e de duas empresas da holding, Raízen e Comgás. Foi o primeiro usineiro a abrir capital, tendo realizado o IPO da Cosan em 2005. Dois anos depois, tornou-se o primeiro bilionário de etanol do mundo. Em 2010, associou-se à holandesa Shell, criando a Raízen, maior produtora global de etanol, que fez IPO na B3 em 2021. Também é acionista da Rumo (maior ferrovia do Brasil) e possui um grande portfólio imobiliário."
56,Marcos Molina dos Santos,55,São Paulo,7.2,Marfrig,"Marcos Molina dos Santos é o acionista controlador da Marfrig Global Foods, segunda maior empresa de carne bovina, em capacidade, do mundo, em processo de fusão com a BRF. Ele divide o controle da companhia com a esposa, Márcia Marçal dos Santos. Quando concluído, o negócio vai criar a MBRF, uma das maiores empresas integradas do mundo em proteínas e alimentos."
57,David Feffer,68,São Paulo,7.1,Grupo Suzano,"David é neto de Leon Feffer, fundador da Suzano. Seus pais, Max e Betty Feffer, colocaram o filho para trabalhar na empresa aos 18 anos. David assumiu a presidência em 2001. Estudou administração de empresas no Brasil e possui cursos de especialização nas universidades Harvard, Columbia e Stanford (EUA) e no IMD (Suíça)."
57,Vera Rechulski Santo Domingo,76,São Paulo,7.1,AB InBev,"Vera Rechulski é viúva de Julio Mario Santo Domingo Jr. (1958-2009), filho do barão da cerveja colombiano Julio Mario Santo Domingo. A brasileira controla cerca de 11% da holding da família Santo Domingo, sediada em Luxemburgo, por meio da qual possui ações da AB InBev. Seus dois filhos, Tatiana Casiraghi e Julio Mario Santo Domingo 3º, possuem participações de 5% cada. Tatiana é casada com o príncipe Andrea Casiraghi, filho da princesa Caroline de Mônaco. A família Santo Domingo também tem uma participação na vinícola francesa Château Pétrus."
59,José Auriemo Neto,49,São Paulo,6.8,JHSF,"Mais conhecido como Zeco, José Auriemo Neto é acionista e presidente do conselho do grupo JHSF e também controla a rede Fasano, adquirida em 2014. Em 2019 a companhia inaugurou o São Paulo Catarina Aeroporto Executivo, em São Roque, único aeroporto executivo privado do país. Controladora dos hotéis e restaurantes Fasano, a empresa inaugurou em 2021 um hotel e um restaurante da marca em Nova York, dando continuidade à internacionalização iniciada em Punta del Este, no Uruguai, e que vem prosseguindo com empreendimentos em Miami, Londres, Cascais e na Sardenha."
60,Dora Voigt de Assis,27,Santa Catarina,6.6,WEG,
60,Lucia Borges Maggi,92,Rio Grande do Sul,6.6,AMaggi,"Lucia Maggi, seus filhos Blairo e Marli e os genros Itamar e Hugo controlam a gigante agrícola AMaggi, criada por ela e André Antônio Maggi (1927-2001) como Sementes Maggi em 1977. Com sede em Cuiabá, hoje a companhia tem negócios de navegação e energia e fazendas de grãos."
60,Lívia Voigt,21,Santa Catarina,6.6,WEG,"Bilionárias mais jovens da lista, Dora – assim como a irmã Lívia – herdaram parte das ações da WEG de sua mãe, Valsi Voigt. Dora e Lívia são netas de Werner Ricardo Voigt, um dos fundadores da gigante catarinense de motores."
60,Nicolau Carvalho Esteves,73,Minas Gerais,6.6,Afya Educacional,"O médico Nicolau Esteves e sua família são controladores da Afya Educacional, maior grupo de faculdades de medicina do país. A companhia tem suas ações negociadas na Nasdaq (EUA) desde 2019. Desde então, já realizou 21 fusões e aquisições. O grupo tem cerca de 30 unidades em 13 estados, somando 35 mil alunos de graduação."
64,Daniel Feffer,65,São Paulo,6.5,Grupo Suzano,"Irmão de David, Daniel é vice-presidente do conselho de administração da Suzano. Ele possui 3,6% das ações da companhia, assim como seu irmão Ruben – que optou por se dedicar à música."
64,Eduardo Voigt Schwartz,35,Santa Catarina,6.5,WEG,"Eduardo e a irmã Mariana receberam parte da participação no capital da WEG de sua mãe, a acionista Miriam Schwartz Voigt."
64,Jorge Feffer,65,São Paulo,6.5,Grupo Suzano,"Jorge Feffer é neto do imigrante ucraniano Leon Feffer (1902-1999), que fundou, em 1924, a fábrica de papel que hoje é conhecida como Suzano. Jorge é primo de David, Daniel e Ruben, e não se envolve com a empresa. Ele tem experiência no setor editorial e de educação ambiental. Em 2021, ele iniciou o processo de transição patrimonial, doando ações para os filhos Mikhael Henriques Feffer e lzabela Henriques Feffer."
